location,Highest_Death_Toll
Falkland Islands,NULL
Saint Kitts and Nevis,NULL
Nauru,NULL
Bermuda,NULL
Greenland,NULL
Marshall Islands,NULL
Cayman Islands,NULL
Hong Kong,NULL
Faeroe Islands,NULL
Gibraltar,NULL
Turks and Caicos Islands,NULL
Guernsey,NULL
Aruba,NULL
Curacao,NULL
Samoa,NULL
Laos,NULL
Macao,NULL
Solomon Islands,NULL
Vatican,NULL
Saint Helena,NULL
Jersey,NULL
Isle of Man,NULL
Dominica,NULL
Tonga,NULL
Montserrat,NULL
Northern Cyprus,NULL
Micronesia (country),NULL
Anguilla,NULL
Vanuatu,1
Grenada,1
Bhutan,1
Fiji,2
Brunei,3
Timor,3
Burundi,6
Tanzania,7
Seychelles,8
Liechtenstein,8
Guinea-Bissau,8
Sao Tome and Principe,8
Liberia,85
Central African Republic,88
Norway,89
Saint Vincent and the Grenadines,9
Saint Lucia,9
Eritrea,9
Singapore,9
Taiwan,9
Vietnam,9
New Zealand,9
Antigua and Barbuda,9
Monaco,9
Iceland,9
Barbados,9
Sierra Leone,9
Mauritius,9
Botswana,9
Maldives,9
San Marino,90
Tajikistan,90
China,905
Jamaica,93
Ecuador,93
Lesotho,93
Cambodia,93
Spain,9387
Ghana,95
Djibouti,96
Gabon,96
Cyprus,96
Angola,96
Belize,96
Bahamas,96
Jordan,967
Mali,97
Mongolia,97
Burkina Faso,97
Cape Verde,97
Sudan,97
Suriname,97
Guinea,97
South Sudan,97
Kazakhstan,97
Mauritania,97
Saudi Arabia,972
Myanmar,972
Zimbabwe,974
Georgia,976
Palestine,978
Malta,98
Trinidad and Tobago,98
Uruguay,98
Equatorial Guinea,98
Democratic Republic of Congo,98
Namibia,98
Andorra,98
Finland,98
Eswatini,98
Rwanda,98
Bahrain,98
Comoros,98
Uzbekistan,98
Cuba,98
Luxembourg,98
Haiti,98
Guyana,98
Togo,98
Ireland,98
South Korea,981
Guatemala,981
Kenya,981
Colombia,9810
Panama,982
Sweden,9834
Morocco,984
Azerbaijan,985
Lithuania,985
United Arab Emirates,986
Yemen,986
Peru,9860
Costa Rica,987
United Kingdom,98723
Kosovo,989
Albania,989
Paraguay,989
Nepal,99
Niger,99
Congo,99
Papua New Guinea,99
Benin,99
Latvia,99
Mozambique,99
Somalia,99
Thailand,99
Australia,99
Honduras,99
Nicaragua,99
Chad,99
Czechia,99
Cote d'Ivoire,99
Serbia,99
Croatia,99
Qatar,99
Sri Lanka,99
Madagascar,99
Malaysia,99
Kyrgyzstan,99
Uganda,99
Gambia,99
Estonia,990
Oman,990
Zambia,991
Cameroon,991
Lebanon,991
Romania,9916
Denmark,992
Argentina,992
Portugal,9920
North Macedonia,994
Armenia,995
Ukraine,995
Libya,995
Senegal,995
Slovenia,995
Moldova,995
Turkey,9950
Mexico,99528
United States,99571
Brazil,99572
Algeria,996
Ethiopia,996
Poland,996
Afghanistan,996
Slovakia,996
Venezuela,997
Chile,997
Greece,997
Bosnia and Herzegovina,997
Nigeria,997
El Salvador,997
Malawi,997
Iraq,9970
Canada,9977
Hungary,9977
Indonesia,9977
India,99773
Bulgaria,9978
Germany,9978
Philippines,9978
Italy,99785
Belarus,998
Kuwait,998
Israel,998
Syria,998
South Africa,998
Japan,998
Russia,99800
Bolivia,9985
Netherlands,9985
Bangladesh,9987
Switzerland,9988
Montenegro,999
Dominican Republic,999
Pakistan,9992
Tunisia,9993
France,99936
Egypt,9994
Belgium,9996
Iran,9996
Austria,9997
