location,New_Global_Cases
Afghanistan,59745
Albania,131085
Algeria,122108
Andorra,13232
Angola,26652
Anguilla,NULL
Antigua and Barbuda,1232
Argentina,2977363
Armenia,216064
Aruba,NULL
Australia,29811
Austria,618870
Azerbaijan,319109
Bahamas,10453
Bahrain,176934
Bangladesh,759132
Barbados,3855
Belarus,358738
Belgium,990229
Belize,12668
Benin,7821
Bermuda,NULL
Bhutan,1074
Bolivia,303732
Bosnia and Herzegovina,198461
Botswana,46934
Brazil,14659011
Brunei,224
Bulgaria,404380
Burkina Faso,13310
Burundi,3995
Cambodia,13402
Cameroon,72250
Canada,1228367
Cape Verde,23882
Cayman Islands,NULL
Central African Republic,6411
Chad,4817
Chile,1198245
China,101946
Colombia,2859724
Comoros,3834
Congo,10678
Costa Rica,250991
Cote d'Ivoire,46036
Croatia,332183
Cuba,106707
Curacao,NULL
Cyprus,65233
Czechia,1630758
Democratic Republic of Congo,29853
Denmark,251249
Djibouti,11100
Dominica,174
Dominican Republic,266561
Ecuador,381862
Egypt,227552
El Salvador,69198
Equatorial Guinea,7694
Eritrea,3671
Estonia,122019
Eswatini,18458
Ethiopia,257442
Faeroe Islands,NULL
Falkland Islands,NULL
Fiji,117
Finland,86808
France,5677835
Gabon,23075
Gambia,5898
Georgia,310310
Germany,3405365
Ghana,92562
Gibraltar,NULL
Greece,345033
Greenland,NULL
Grenada,160
Guatemala,227671
Guernsey,NULL
Guinea,22215
Guinea-Bissau,3734
Guyana,13283
Haiti,13056
Honduras,212333
Hong Kong,NULL
Hungary,779348
Iceland,6472
India,19164969
Indonesia,1668368
Iran,2499077
Iraq,1065199
Ireland,248870
Isle of Man,NULL
Israel,838481
Italy,4022653
Jamaica,45578
Japan,593262
Jersey,NULL
Jordan,711373
Kazakhstan,375539
Kenya,159318
Kosovo,103638
Kuwait,273991
Kyrgyzstan,95275
Laos,757
Latvia,118558
Lebanon,526578
Lesotho,10731
Liberia,2099
Libya,177508
Liechtenstein,2926
Lithuania,247269
Luxembourg,67205
Macao,NULL
Madagascar,37014
Malawi,34078
Malaysia,408713
Maldives,29835
Mali,13858
Malta,30292
Marshall Islands,4
Mauritania,18402
Mauritius,1209
Mexico,2344755
Micronesia (country),1
Moldova,250837
Monaco,2454
Mongolia,37285
Montenegro,97389
Montserrat,NULL
Morocco,511249
Mozambique,69917
Myanmar,142817
Namibia,48351
Nauru,NULL
Nepal,323187
Netherlands,1522973
New Zealand,2613
Nicaragua,6898
Niger,5228
Nigeria,165110
North Macedonia,152367
Northern Cyprus,NULL
Norway,112970
Oman,193253
Pakistan,825519
Palestine,296462
Panama,364576
Papua New Guinea,10997
Paraguay,279077
Peru,1799445
Philippines,1037460
Poland,2792142
Portugal,836493
Qatar,205652
Romania,1055265
Russia,4750755
Rwanda,25116
Saint Helena,NULL
Saint Kitts and Nevis,44
Saint Lucia,4552
Saint Vincent and the Grenadines,1864
Samoa,3
San Marino,5066
Sao Tome and Principe,2302
Saudi Arabia,417363
Senegal,40344
Serbia,689557
Seychelles,5873
Sierra Leone,4054
Singapore,61145
Slovakia,382211
Slovenia,240292
Solomon Islands,20
Somalia,13915
South Africa,1581210
South Korea,122633
South Sudan,10583
Spain,3524077
Sri Lanka,108146
Sudan,33944
Suriname,10363
Sweden,973604
Switzerland,659974
Syria,22733
Taiwan,1127
Tajikistan,13308
Tanzania,509
Thailand,65149
Timor,2276
Togo,12967
Tonga,NULL
Trinidad and Tobago,10824
Tunisia,309119
Turkey,3997366
Turks and Caicos Islands,NULL
Uganda,41866
Ukraine,2124070
United Arab Emirates,520236
United Kingdom,4432246
United States,32346970
Uruguay,198428
Uzbekistan,90808
Vanuatu,4
Vatican,27
Venezuela,197683
Vietnam,2928
Yemen,6317
Zambia,91586
Zimbabwe,38257
